Au,Ag,Cu,Pt,Al,24-bit color,R,G,B
0.05,0.05,0.05,0.3,0.55,13420210.0,204,198,178
0.05,0.05,0.05,0.35,0.5,13026490.0,198,196,186
0.05,0.05,0.05,0.4,0.45,12697527.0,193,191,183
0.05,0.05,0.05,0.65,0.2,14539729.0,221,219,209
0.05,0.05,0.05,0.7,0.15,14210761.0,216,214,201
0.05,0.05,0.05,0.8,0.05,14407372.0,219,214,204
0.05,0.05,0.1,0.6,0.2,14210764.0,216,214,204
0.05,0.05,0.1,0.65,0.15,14209993.0,216,211,201
0.05,0.05,0.15,0.35,0.4,12894135.0,196,191,183
0.05,0.05,0.15,0.6,0.15,14078406.0,214,209,198
0.05,0.05,0.15,0.65,0.1,13749439.0,209,204,191
0.05,0.05,0.2,0.35,0.35,13025722.0,198,193,186
0.05,0.05,0.2,0.6,0.1,13552060.0,206,201,188
0.05,0.05,0.25,0.3,0.35,12893365.0,196,188,181
0.05,0.05,0.25,0.5,0.15,14407369.0,219,214,201
0.05,0.05,0.25,0.55,0.1,13420220.0,204,198,188
0.05,0.05,0.3,0.45,0.15,14538446.0,221,214,206
0.05,0.05,0.3,0.55,0.05,13025205.0,198,191,181
0.05,0.05,0.35,0.25,0.3,13419711.0,204,196,191
0.05,0.05,0.35,0.5,0.05,12894133.0,196,191,181
0.05,0.05,0.4,0.2,0.3,13221815.0,201,191,183
0.05,0.05,0.4,0.4,0.1,14209481.0,216,209,201
0.05,0.05,0.45,0.2,0.25,13551292.0,206,198,188
0.05,0.05,0.45,0.35,0.1,14736339.0,224,219,211
0.05,0.05,0.5,0.15,0.25,14078404.0,214,209,196
0.05,0.05,0.5,0.3,0.1,14867926.0,226,221,214
0.05,0.05,0.55,0.15,0.2,13880508.0,211,204,188
0.05,0.05,0.55,0.3,0.05,14406086.0,219,209,198
0.05,0.05,0.6,0.1,0.2,14735049.0,224,214,201
0.05,0.05,0.6,0.25,0.05,15064536.0,229,221,216
0.05,0.05,0.65,0.1,0.15,14864838.0,226,209,198
0.05,0.05,0.65,0.2,0.05,15261912.0,232,224,216
0.05,0.05,0.7,0.05,0.15,15260622.0,232,219,206
0.05,0.05,0.7,0.1,0.1,14733764.0,224,209,196
0.05,0.05,0.7,0.15,0.05,15721181.0,239,226,221
0.05,0.05,0.75,0.05,0.1,15587529.0,237,216,201
0.05,0.05,0.8,0.05,0.05,15390406.0,234,214,198
0.05,0.1,0.05,0.25,0.55,14404003.0,219,201,163
0.05,0.1,0.05,0.3,0.5,13420993.0,204,201,193
0.05,0.1,0.05,0.35,0.45,12894650.0,196,193,186
0.05,0.1,0.05,0.6,0.2,14079689.0,214,214,201
0.05,0.1,0.05,0.65,0.15,14407372.0,219,214,204
0.05,0.1,0.1,0.35,0.4,12894133.0,196,191,181
0.05,0.1,0.1,0.6,0.15,14078406.0,214,209,198
0.05,0.1,0.1,0.65,0.1,13881028.0,211,206,196
0.05,0.1,0.15,0.35,0.35,13025210.0,198,191,186
0.05,0.1,0.15,0.55,0.15,13881796.0,211,209,196
0.05,0.1,0.15,0.6,0.1,13749441.0,209,204,193
0.05,0.1,0.2,0.3,0.35,13025719.0,198,193,183
0.05,0.1,0.2,0.5,0.15,14210764.0,216,214,204
0.05,0.1,0.2,0.55,0.1,13552060.0,206,201,188
0.05,0.1,0.25,0.45,0.15,14538958.0,221,216,206
0.05,0.1,0.25,0.5,0.1,13420220.0,204,198,188
0.05,0.1,0.25,0.55,0.05,13025719.0,198,193,183
0.05,0.1,0.3,0.25,0.3,13222330.0,201,193,186
0.05,0.1,0.3,0.5,0.05,13025719.0,198,193,183
0.05,0.1,0.35,0.4,0.1,14406604.0,219,211,204
0.05,0.1,0.35,0.45,0.05,12894133.0,196,191,181
0.05,0.1,0.4,0.2,0.25,13748668.0,209,201,188
0.05,0.1,0.4,0.35,0.1,14736851.0,224,221,211
0.05,0.1,0.45,0.15,0.25,13748666.0,209,201,186
0.05,0.1,0.45,0.3,0.1,15064534.0,229,221,214
0.05,0.1,0.5,0.15,0.2,14077119.0,214,204,191
0.05,0.1,0.55,0.1,0.2,14735049.0,224,214,201
0.05,0.1,0.55,0.25,0.05,14866121.0,226,214,201
0.05,0.1,0.6,0.1,0.15,14732991.0,224,206,191
0.05,0.1,0.6,0.2,0.05,15261912.0,232,224,216
0.05,0.1,0.65,0.05,0.15,15261137.0,232,221,209
0.05,0.1,0.65,0.15,0.05,15590107.0,237,226,219
0.05,0.1,0.7,0.05,0.1,15587532.0,237,216,204
0.05,0.1,0.7,0.1,0.05,16047561.0,244,221,201
0.05,0.1,0.75,0.05,0.05,15390409.0,234,214,201
0.05,0.15,0.05,0.25,0.5,14077106.0,214,204,178
0.05,0.15,0.05,0.3,0.45,13224380.0,201,201,188
0.05,0.15,0.05,0.35,0.4,12894647.0,196,193,183
0.05,0.15,0.05,0.6,0.15,14407369.0,219,214,201
0.05,0.15,0.05,0.65,0.1,14210761.0,216,214,201
0.05,0.15,0.1,0.35,0.35,13025207.0,198,191,183
0.05,0.15,0.1,0.55,0.15,14209993.0,216,211,201
0.05,0.15,0.1,0.6,0.1,14078404.0,214,209,196
0.05,0.15,0.15,0.3,0.35,13025719.0,198,193,183
0.05,0.15,0.15,0.5,0.15,14407886.0,219,216,206
0.05,0.15,0.15,0.55,0.1,13880511.0,211,204,191
0.05,0.15,0.2,0.3,0.3,13419708.0,204,196,188
0.05,0.15,0.2,0.45,0.15,14538961.0,221,216,209
0.05,0.15,0.2,0.5,0.1,13552060.0,206,201,188
0.05,0.15,0.2,0.55,0.05,13223098.0,201,196,186
0.05,0.15,0.25,0.25,0.3,13419706.0,204,196,186
0.05,0.15,0.25,0.5,0.05,13222325.0,201,193,181
0.05,0.15,0.3,0.45,0.05,13025717.0,198,193,181
0.05,0.15,0.35,0.2,0.25,13880511.0,211,204,191
0.05,0.15,0.35,0.35,0.1,14867923.0,226,221,211
0.05,0.15,0.4,0.15,0.25,13747900.0,209,198,188
0.05,0.15,0.4,0.3,0.1,15064536.0,229,221,216
0.05,0.15,0.45,0.15,0.2,14077633.0,214,206,193
0.05,0.15,0.5,0.1,0.2,14735049.0,224,214,201
0.05,0.15,0.5,0.25,0.05,14537673.0,221,211,201
0.05,0.15,0.55,0.1,0.15,14537156.0,221,209,196
0.05,0.15,0.55,0.2,0.05,15261915.0,232,224,219
0.05,0.15,0.6,0.05,0.15,15392209.0,234,221,209
0.05,0.15,0.6,0.15,0.05,15590107.0,237,226,219
0.05,0.15,0.65,0.05,0.1,15588302.0,237,219,206
0.05,0.15,0.65,0.1,0.05,16374724.0,249,219,196
0.05,0.15,0.7,0.05,0.05,15587532.0,237,216,204
0.05,0.2,0.05,0.25,0.45,13881023.0,211,206,191
0.05,0.2,0.05,0.3,0.4,13223610.0,201,198,186
0.05,0.2,0.05,0.35,0.35,13223095.0,201,196,183
0.05,0.2,0.05,0.55,0.15,14538958.0,221,216,206
0.05,0.2,0.05,0.6,0.1,14407369.0,219,214,201
0.05,0.2,0.1,0.3,0.35,13026487.0,198,196,183
0.05,0.2,0.1,0.55,0.1,14209993.0,216,211,201
0.05,0.2,0.15,0.3,0.3,13420220.0,204,198,188
0.05,0.2,0.15,0.45,0.15,14539729.0,221,219,209
0.05,0.2,0.15,0.5,0.1,13881028.0,211,206,196
0.05,0.2,0.15,0.55,0.05,13420218.0,204,198,186
0.05,0.2,0.2,0.25,0.3,13419706.0,204,196,186
0.05,0.2,0.2,0.4,0.15,14867411.0,226,219,211
0.05,0.2,0.2,0.45,0.1,13749444.0,209,204,196
0.05,0.2,0.2,0.5,0.05,13419703.0,204,196,183
0.05,0.2,0.25,0.45,0.05,13420218.0,204,198,186
0.05,0.2,0.3,0.2,0.25,13551292.0,206,198,188
0.05,0.2,0.3,0.35,0.1,14867926.0,226,221,214
0.05,0.2,0.3,0.4,0.05,13223098.0,201,196,186
0.05,0.2,0.35,0.3,0.1,15065302.0,229,224,214
0.05,0.2,0.4,0.15,0.2,14208705.0,216,206,193
0.05,0.2,0.45,0.1,0.2,14208703.0,216,206,191
0.05,0.2,0.45,0.25,0.05,14735054.0,224,214,206
0.05,0.2,0.5,0.1,0.15,14537668.0,221,211,196
0.05,0.2,0.5,0.2,0.05,15261915.0,232,224,219
0.05,0.2,0.55,0.05,0.15,15392209.0,234,221,209
0.05,0.2,0.55,0.15,0.05,15721181.0,239,226,221
0.05,0.2,0.6,0.05,0.1,15587014.0,237,214,198
0.05,0.2,0.6,0.1,0.05,16376006.0,249,224,198
0.05,0.2,0.65,0.05,0.05,15587534.0,237,216,206
0.05,0.25,0.05,0.2,0.45,14865330.0,226,211,178
0.05,0.25,0.05,0.25,0.4,13553345.0,206,206,193
0.05,0.25,0.05,0.3,0.35,13223610.0,201,198,186
0.05,0.25,0.05,0.5,0.15,14539726.0,221,219,206
0.05,0.25,0.05,0.55,0.1,14407886.0,219,216,206
0.05,0.25,0.1,0.3,0.3,13551292.0,206,198,188
0.05,0.25,0.1,0.45,0.15,14736851.0,224,221,211
0.05,0.25,0.1,0.5,0.1,14209993.0,216,211,201
0.05,0.25,0.1,0.55,0.05,13749439.0,209,204,191
0.05,0.25,0.15,0.25,0.3,13551290.0,206,198,186
0.05,0.25,0.15,0.4,0.15,14867923.0,226,221,211
0.05,0.25,0.15,0.45,0.1,13881028.0,211,206,196
0.05,0.25,0.15,0.5,0.05,13551290.0,206,198,186
0.05,0.25,0.2,0.25,0.25,13879745.0,211,201,193
0.05,0.25,0.2,0.45,0.05,13552060.0,206,201,188
0.05,0.25,0.25,0.2,0.25,13748668.0,209,201,188
0.05,0.25,0.25,0.35,0.1,14867409.0,226,219,209
0.05,0.25,0.25,0.4,0.05,13420218.0,204,198,186
0.05,0.25,0.3,0.3,0.1,15065302.0,229,224,214
0.05,0.25,0.35,0.15,0.2,14406084.0,219,209,196
0.05,0.25,0.4,0.1,0.2,14208705.0,216,206,193
0.05,0.25,0.4,0.25,0.05,14866641.0,226,216,209
0.05,0.25,0.45,0.1,0.15,14734281.0,224,211,201
0.05,0.25,0.45,0.2,0.05,15392987.0,234,224,219
0.05,0.25,0.5,0.05,0.15,15392979.0,234,224,211
0.05,0.25,0.5,0.15,0.05,15721181.0,239,226,221
0.05,0.25,0.55,0.05,0.1,15587017.0,237,214,201
0.05,0.25,0.55,0.1,0.05,16376524.0,249,226,204
0.05,0.3,0.05,0.2,0.4,14537663.0,221,211,191
0.05,0.3,0.05,0.25,0.35,13553343.0,206,206,191
0.05,0.3,0.05,0.3,0.3,13418938.0,204,193,186
0.05,0.3,0.05,0.45,0.15,14736851.0,224,221,211
0.05,0.3,0.05,0.5,0.1,14539726.0,221,219,206
0.05,0.3,0.05,0.55,0.05,14078404.0,214,209,196
0.05,0.3,0.1,0.25,0.3,13552828.0,206,204,188
0.05,0.3,0.1,0.4,0.15,14868694.0,226,224,214
0.05,0.3,0.1,0.45,0.1,14208710.0,216,206,198
0.05,0.3,0.1,0.5,0.05,13880508.0,211,204,188
0.05,0.3,0.15,0.25,0.25,13880513.0,211,204,193
0.05,0.3,0.15,0.4,0.1,14209996.0,216,211,204
0.05,0.3,0.15,0.45,0.05,13880513.0,211,204,193
0.05,0.3,0.2,0.2,0.25,13552060.0,206,201,188
0.05,0.3,0.2,0.35,0.1,14867411.0,226,219,211
0.05,0.3,0.2,0.4,0.05,13551295.0,206,198,191
0.05,0.3,0.25,0.3,0.1,15065304.0,229,224,216
0.05,0.3,0.25,0.35,0.05,13748673.0,209,201,193
0.05,0.3,0.3,0.15,0.2,14077121.0,214,204,193
0.05,0.3,0.35,0.25,0.05,15064019.0,229,219,211
0.05,0.3,0.4,0.1,0.15,14735049.0,224,214,201
0.05,0.3,0.4,0.2,0.05,15393499.0,234,226,219
0.05,0.3,0.45,0.05,0.15,15392979.0,234,224,211
0.05,0.3,0.45,0.15,0.05,15721952.0,239,229,224
0.05,0.3,0.5,0.05,0.1,15260622.0,232,219,206
0.05,0.3,0.5,0.1,0.05,16377297.0,249,229,209
0.05,0.35,0.05,0.2,0.35,14407884.0,219,216,204
0.05,0.35,0.05,0.25,0.3,13552828.0,206,204,188
0.05,0.35,0.05,0.4,0.15,14869208.0,226,226,216
0.05,0.35,0.05,0.45,0.1,14538446.0,221,214,206
0.05,0.35,0.05,0.5,0.05,14406593.0,219,211,193
0.05,0.35,0.1,0.25,0.25,13880513.0,211,204,193
0.05,0.35,0.1,0.4,0.1,14208710.0,216,206,198
0.05,0.35,0.1,0.45,0.05,14078406.0,214,209,198
0.05,0.35,0.15,0.2,0.25,13881023.0,211,206,191
0.05,0.35,0.15,0.4,0.05,13879748.0,211,201,196
0.05,0.35,0.2,0.2,0.2,14208713.0,216,206,201
0.05,0.35,0.2,0.3,0.1,15065816.0,229,226,216
0.05,0.35,0.2,0.35,0.05,13747388.0,209,196,188
0.05,0.35,0.25,0.15,0.2,14208705.0,216,206,193
0.05,0.35,0.25,0.25,0.1,15394269.0,234,229,221
0.05,0.35,0.35,0.1,0.15,14866636.0,226,216,204
0.05,0.35,0.35,0.2,0.05,15393499.0,234,226,219
0.05,0.35,0.4,0.05,0.15,14867401.0,226,219,201
0.05,0.35,0.4,0.15,0.05,15721952.0,239,229,224
0.05,0.35,0.45,0.05,0.1,15391697.0,234,219,209
0.05,0.35,0.45,0.1,0.05,16770518.0,255,229,214
0.05,0.4,0.05,0.15,0.35,15261121.0,232,221,193
0.05,0.4,0.05,0.2,0.3,14079686.0,214,214,198
0.05,0.4,0.05,0.25,0.25,13881025.0,211,206,193
0.05,0.4,0.05,0.4,0.1,14538446.0,221,214,206
0.05,0.4,0.05,0.45,0.05,14538958.0,221,216,206
0.05,0.4,0.1,0.2,0.25,13882305.0,211,211,193
0.05,0.4,0.1,0.4,0.05,14208713.0,216,206,201
0.05,0.4,0.15,0.2,0.2,14406089.0,219,209,201
0.05,0.4,0.15,0.3,0.1,15262424.0,232,226,216
0.05,0.4,0.15,0.35,0.05,14076353.0,214,201,193
0.05,0.4,0.2,0.15,0.2,14406596.0,219,211,196
0.05,0.4,0.2,0.25,0.1,15394269.0,234,229,221
0.05,0.4,0.2,0.3,0.05,14209484.0,216,209,204
0.05,0.4,0.3,0.1,0.15,15064529.0,229,221,209
0.05,0.4,0.3,0.2,0.05,15394269.0,234,229,221
0.05,0.4,0.35,0.15,0.05,15722722.0,239,232,226
0.05,0.4,0.4,0.05,0.1,15392211.0,234,221,211
0.05,0.4,0.4,0.1,0.05,16771288.0,255,232,216
0.05,0.45,0.05,0.15,0.3,14867918.0,226,221,206
0.05,0.45,0.05,0.2,0.25,14078916.0,214,211,196
0.05,0.45,0.05,0.35,0.1,14868694.0,226,224,214
0.05,0.45,0.05,0.4,0.05,14735569.0,224,216,209
0.05,0.45,0.1,0.2,0.2,14209993.0,216,211,201
0.05,0.45,0.1,0.3,0.1,15263195.0,232,229,219
0.05,0.45,0.1,0.35,0.05,14407369.0,219,214,201
0.05,0.45,0.15,0.15,0.2,14407366.0,219,214,198
0.05,0.45,0.15,0.25,0.1,15591648.0,237,232,224
0.05,0.45,0.15,0.3,0.05,14209993.0,216,211,201
0.05,0.45,0.2,0.15,0.15,14735057.0,224,214,209
0.05,0.45,0.25,0.1,0.15,14735049.0,224,214,201
0.05,0.45,0.25,0.2,0.05,15261910.0,232,224,214
0.05,0.45,0.3,0.15,0.05,15722722.0,239,232,226
0.05,0.45,0.35,0.05,0.1,15392979.0,234,224,211
0.05,0.45,0.35,0.1,0.05,16246240.0,247,229,224
0.05,0.5,0.05,0.15,0.25,14540238.0,221,221,206
0.05,0.5,0.05,0.2,0.2,14209993.0,216,211,201
0.05,0.5,0.05,0.3,0.1,15263195.0,232,229,219
0.05,0.5,0.05,0.35,0.05,14736337.0,224,219,209
0.05,0.5,0.1,0.15,0.2,14408652.0,219,219,204
0.05,0.5,0.1,0.25,0.1,15591648.0,237,232,224
0.05,0.5,0.1,0.3,0.05,14407369.0,219,214,201
0.05,0.5,0.15,0.15,0.15,14866641.0,226,216,209
0.05,0.5,0.2,0.1,0.15,14867406.0,226,219,206
0.05,0.5,0.2,0.2,0.05,15590109.0,237,226,221
0.05,0.5,0.25,0.15,0.05,15919333.0,242,232,229
0.05,0.5,0.3,0.05,0.1,15590875.0,237,229,219
0.05,0.5,0.3,0.1,0.05,16247010.0,247,232,226
0.05,0.55,0.05,0.1,0.25,15721937.0,239,229,209
0.05,0.55,0.05,0.15,0.2,14408652.0,219,219,204
0.05,0.55,0.05,0.25,0.1,15592162.0,237,234,226
0.05,0.55,0.05,0.3,0.05,14867921.0,226,221,209
0.05,0.55,0.1,0.1,0.2,14869974.0,226,229,214
0.05,0.55,0.1,0.15,0.15,14538961.0,221,216,209
0.05,0.55,0.1,0.25,0.05,14736337.0,224,219,209
0.05,0.55,0.15,0.1,0.15,14736334.0,224,219,206
0.05,0.55,0.2,0.1,0.1,15261144.0,232,221,216
0.05,0.55,0.2,0.15,0.05,15919845.0,242,234,229
0.05,0.55,0.25,0.05,0.1,15261905.0,232,224,209
0.05,0.55,0.25,0.1,0.05,16247528.0,247,234,232
0.05,0.6,0.05,0.1,0.2,15395549.0,234,234,221
0.05,0.6,0.05,0.15,0.15,14736337.0,224,219,209
0.05,0.6,0.05,0.25,0.05,15263197.0,232,229,221
0.05,0.6,0.1,0.1,0.15,14869203.0,226,226,211
0.05,0.6,0.15,0.1,0.1,15392987.0,234,224,219
0.05,0.6,0.15,0.15,0.05,15723234.0,239,234,226
0.05,0.6,0.2,0.05,0.1,15393494.0,234,226,214
0.05,0.6,0.2,0.1,0.05,16379885.0,249,239,237
0.05,0.65,0.05,0.1,0.15,14869974.0,226,229,214
0.05,0.65,0.05,0.2,0.05,15262427.0,232,226,219
0.05,0.65,0.1,0.05,0.15,16053480.0,244,244,232
0.05,0.65,0.1,0.1,0.1,15392989.0,234,224,221
0.05,0.65,0.1,0.15,0.05,15724005.0,239,237,229
0.05,0.65,0.15,0.05,0.1,15722715.0,239,232,219
0.05,0.65,0.15,0.1,0.05,16380655.0,249,242,239
0.05,0.65,0.2,0.05,0.05,15918562.0,242,229,226
0.05,0.7,0.05,0.05,0.15,16051682.0,244,237,226
0.05,0.7,0.05,0.1,0.1,15262427.0,232,226,219
0.05,0.7,0.05,0.15,0.05,15724005.0,239,237,229
0.05,0.7,0.1,0.05,0.1,15592925.0,237,237,221
0.05,0.7,0.1,0.1,0.05,16052973.0,244,242,237
0.05,0.7,0.15,0.05,0.05,15919333.0,242,232,229
0.05,0.75,0.05,0.05,0.1,15593440.0,237,239,224
0.05,0.75,0.05,0.1,0.05,16249583.0,247,242,239
0.05,0.75,0.1,0.05,0.05,15919848.0,242,234,232
0.05,0.8,0.05,0.05,0.05,16051690.0,244,237,234
0.1,0.05,0.05,0.4,0.4,12697525.0,193,191,181
0.1,0.05,0.05,0.6,0.2,14210758.0,216,214,198
0.1,0.05,0.05,0.65,0.15,14539726.0,221,219,206
0.1,0.05,0.1,0.35,0.4,12893365.0,196,188,181
0.1,0.05,0.15,0.6,0.1,13881025.0,211,206,193
0.1,0.05,0.2,0.3,0.35,13221042.0,201,188,178
0.1,0.05,0.25,0.3,0.3,13418933.0,204,193,181
0.1,0.05,0.25,0.55,0.05,13222327.0,201,193,183
0.1,0.05,0.3,0.25,0.3,13024439.0,198,188,183
0.1,0.05,0.3,0.5,0.05,13222327.0,201,193,183
0.1,0.05,0.35,0.2,0.3,13417653.0,204,188,181
0.1,0.05,0.35,0.25,0.25,13550780.0,206,196,188
0.1,0.05,0.4,0.2,0.25,13418938.0,204,193,186
0.1,0.05,0.45,0.15,0.25,13746618.0,209,193,186
0.1,0.05,0.45,0.2,0.2,13878975.0,211,198,191
0.1,0.05,0.5,0.15,0.2,13418421.0,204,191,181
0.1,0.05,0.55,0.1,0.2,13746618.0,209,193,186
0.1,0.05,0.6,0.1,0.15,14537676.0,221,211,204
0.1,0.05,0.6,0.2,0.05,15062739.0,229,214,211
0.1,0.05,0.65,0.05,0.15,14075068.0,214,196,188
0.1,0.05,0.7,0.05,0.1,15260625.0,232,219,209
0.1,0.05,0.7,0.1,0.05,15389126.0,234,209,198
0.1,0.1,0.05,0.35,0.4,12696757.0,193,188,181
0.1,0.1,0.05,0.6,0.15,14736337.0,224,219,209
0.1,0.1,0.1,0.6,0.1,14078404.0,214,209,196
0.1,0.1,0.15,0.3,0.35,13221045.0,201,188,181
0.1,0.1,0.15,0.55,0.1,13881023.0,211,206,191
0.1,0.1,0.2,0.5,0.1,13881025.0,211,206,193
0.1,0.1,0.25,0.25,0.3,13549490.0,206,191,178
0.1,0.1,0.25,0.5,0.05,13223095.0,201,196,183
0.1,0.1,0.3,0.25,0.25,13747900.0,209,198,188
0.1,0.1,0.3,0.45,0.05,13222327.0,201,193,183
0.1,0.1,0.35,0.2,0.25,13221815.0,201,191,183
0.1,0.1,0.4,0.15,0.25,13747386.0,209,196,186
0.1,0.1,0.4,0.2,0.2,14076353.0,214,201,193
0.1,0.1,0.45,0.15,0.2,13746618.0,209,193,186
0.1,0.1,0.5,0.1,0.2,13549493.0,206,191,181
0.1,0.1,0.55,0.1,0.15,14537161.0,221,209,201
0.1,0.1,0.55,0.2,0.05,15063251.0,229,216,211
0.1,0.1,0.6,0.05,0.15,14206652.0,216,198,188
0.1,0.1,0.65,0.05,0.1,15260627.0,232,219,211
0.1,0.1,0.65,0.1,0.05,15586249.0,237,211,201
0.1,0.15,0.05,0.35,0.35,13025717.0,198,193,181
0.1,0.15,0.05,0.55,0.15,14736849.0,224,221,209
0.1,0.15,0.1,0.3,0.35,13024437.0,198,188,181
0.1,0.15,0.1,0.55,0.1,14078404.0,214,209,196
0.1,0.15,0.15,0.5,0.1,13881025.0,211,206,193
0.1,0.15,0.2,0.25,0.3,13221045.0,201,188,181
0.1,0.15,0.2,0.5,0.05,13420218.0,204,198,186
0.1,0.15,0.25,0.25,0.25,13747900.0,209,198,188
0.1,0.15,0.25,0.45,0.05,13419703.0,204,196,183
0.1,0.15,0.3,0.2,0.25,13550007.0,206,193,183
0.1,0.15,0.3,0.4,0.05,13419703.0,204,196,183
0.1,0.15,0.35,0.15,0.25,13878455.0,211,196,183
0.1,0.15,0.35,0.2,0.2,14075583.0,214,198,191
0.1,0.15,0.4,0.15,0.2,13878458.0,211,196,186
0.1,0.15,0.45,0.1,0.2,14206655.0,216,198,191
0.1,0.15,0.45,0.15,0.15,14536390.0,221,206,198
0.1,0.15,0.5,0.1,0.15,14537158.0,221,209,198
0.1,0.15,0.5,0.2,0.05,15260627.0,232,219,211
0.1,0.15,0.55,0.05,0.15,14404028.0,219,201,188
0.1,0.15,0.6,0.05,0.1,15260630.0,232,219,214
0.1,0.15,0.6,0.1,0.05,15587020.0,237,214,204
0.1,0.2,0.05,0.3,0.35,13026487.0,198,196,183
0.1,0.2,0.05,0.5,0.15,14736332.0,224,219,204
0.1,0.2,0.05,0.55,0.1,14539726.0,221,219,206
0.1,0.2,0.1,0.5,0.1,14209990.0,216,211,198
0.1,0.2,0.15,0.25,0.3,13419703.0,204,196,183
0.1,0.2,0.15,0.45,0.1,14078404.0,214,209,196
0.1,0.2,0.15,0.5,0.05,13748668.0,209,201,188
0.1,0.2,0.2,0.25,0.25,13748671.0,209,201,191
0.1,0.2,0.2,0.45,0.05,13748668.0,209,201,188
0.1,0.2,0.25,0.2,0.25,13747383.0,209,196,183
0.1,0.2,0.25,0.4,0.05,13420218.0,204,198,186
0.1,0.2,0.3,0.2,0.2,14075583.0,214,198,191
0.1,0.2,0.35,0.15,0.2,13878972.0,211,198,188
0.1,0.2,0.4,0.1,0.2,14207423.0,216,201,191
0.1,0.2,0.4,0.15,0.15,14536390.0,221,206,198
0.1,0.2,0.45,0.1,0.15,13878455.0,211,196,183
0.1,0.2,0.45,0.2,0.05,15261912.0,232,224,216
0.1,0.2,0.5,0.05,0.15,14535871.0,221,204,191
0.1,0.2,0.5,0.15,0.05,15588822.0,237,221,214
0.1,0.2,0.55,0.05,0.1,15260627.0,232,219,211
0.1,0.2,0.55,0.1,0.05,15718606.0,239,216,206
0.1,0.25,0.05,0.45,0.15,14540241.0,221,221,209
0.1,0.25,0.05,0.5,0.1,14538956.0,221,216,204
0.1,0.25,0.1,0.25,0.3,13420215.0,204,198,183
0.1,0.25,0.1,0.45,0.1,14209990.0,216,211,198
0.1,0.25,0.1,0.5,0.05,13881023.0,211,206,191
0.1,0.25,0.15,0.25,0.25,13879738.0,211,201,186
0.1,0.25,0.15,0.4,0.1,14407884.0,219,216,204
0.1,0.25,0.15,0.45,0.05,13881023.0,211,206,191
0.1,0.25,0.2,0.2,0.25,13747895.0,209,198,183
0.1,0.25,0.2,0.4,0.05,13748668.0,209,201,188
0.1,0.25,0.25,0.2,0.2,14075583.0,214,198,191
0.1,0.25,0.25,0.35,0.05,13749439.0,209,204,191
0.1,0.25,0.3,0.15,0.2,14076351.0,214,201,191
0.1,0.25,0.35,0.1,0.2,14535868.0,221,204,188
0.1,0.25,0.35,0.15,0.15,14537158.0,221,209,198
0.1,0.25,0.4,0.1,0.15,14076348.0,214,201,188
0.1,0.25,0.4,0.2,0.05,15262424.0,232,226,216
0.1,0.25,0.45,0.05,0.15,14207420.0,216,201,188
0.1,0.25,0.45,0.1,0.1,15062734.0,229,214,206
0.1,0.25,0.45,0.15,0.05,15589592.0,237,224,216
0.1,0.25,0.5,0.05,0.1,15259854.0,232,216,206
0.1,0.25,0.5,0.1,0.05,15719374.0,239,219,206
0.1,0.3,0.05,0.25,0.3,13552826.0,206,204,186
0.1,0.3,0.05,0.45,0.1,14538436.0,221,214,196
