,Ag,Au,Cu,24-bit color
0,0.1,0.1,0.8,15915212.0
1,0.1,0.2,0.7,{}
2,0.1,0.3,0.6,{}
3,0.1,0.4,0.5,{}
4,0.1,0.5,0.4,{}
5,0.1,0.6,0.3,{}
6,0.1,0.7,0.2,{}
7,0.1,0.8,0.1,{}
8,0.2,0.1,0.7,{}
9,0.2,0.2,0.6,{}
10,0.2,0.3,0.5,{}
11,0.2,0.4,0.4,{}
12,0.2,0.5,0.3,{}
13,0.2,0.6,0.2,{}
14,0.2,0.7,0.1,{}
15,0.3,0.1,0.6,{}
16,0.3,0.2,0.5,{}
17,0.3,0.3,0.4,{}
18,0.3,0.4,0.3,{}
19,0.3,0.5,0.2,{}
20,0.3,0.6,0.1,{}
21,0.4,0.1,0.5,{}
22,0.4,0.2,0.4,{}
23,0.4,0.3,0.3,{}
24,0.4,0.4,0.2,{}
25,0.4,0.5,0.1,{}
26,0.5,0.1,0.4,{}
27,0.5,0.2,0.3,{}
28,0.5,0.3,0.2,{}
29,0.5,0.4,0.1,{}
30,0.6,0.1,0.3,{}
31,0.6,0.2,0.2,{}
32,0.6,0.3,0.1,{}
33,0.7,0.1,0.2,{}
34,0.7,0.2,0.1,{}
35,0.8,0.1,0.1,{}
